Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
192257 01;T.P FLYYER RUNNER WHITE 192257 01 #  7;1,790.00;PUMA;ZAPATO;10;15,757.50;1,575.75;30/1/2019;L1,590.00;
A1JZT;T. KENDRICK CHELSEA BLACK A1JZT # 7;3,650.00;TIMBERLAND;ZAPATO;10;32,806.88;3,280.69;22/2/2019;L3,390.00;
AO0266-006;T. NIKE AIR MAX MOTION BLK/BLUE AO0266-006 # 7;2,990.00;NIKE;ZAPATO;10;28,751.50;2,875.15;16/4/2019;L2,790.00;ESTA BUENO
314192 009;T.N AIR FORCE 1 BLACK 314192 009 # 3.5Y;2,390.00;NIKE;ZAPATO;10;22,134.50;2,213.45;15/4/2019;L2,190.00;ESTA BUENO
A1LNG;Z.T. FLYROAM GO KNIT OX BLK A1LNG # 7.5;3,190.00;TIMBERLAND;ZAPATO;9;25,678.00;2,853.11;22/4/2019;L2,890.00;COBRAR
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 7;2,890.00;TIMBERLAND;ZAPATO;9;23,175.00;2,575.00;30/10/2018;L2,690.00;
AR2795-010;M NSW JDI+ JGGR FT BLK/ORANGE AR2795-010 # XL;1,590.00;NIKE;ROPA;9;13,733.00;1,525.89;16/4/2019;L1,490.00;ESTA BUENO
STWS14B056 03;CALC SP TOP S 3PK PINK/WTH/PRPL STWS14B056 03 4-7;550.00;SPERRY TOP SIDER;ACCESORIOS;9;3,156.00;350.67;4/2/2019;L550.00;
5FM00105-013;T.FILA  DISTRUCTOR II PREMIUN BLK 5FM00105-013 # 5;2,590.00;FILA;ZAPATO;9;20,333.50;2,259.28;28/12/2018;L2,390.00;
BA5797-850;MALETIN W NK TEAM DUFFLE EMBER GLOW BA5797-850;1,190.00;NIKE;ACCESORIOS;9;8,887.00;987.44;24/1/2019;L990.00;
SCK260500;T.SPERRY SC-BODIE BLACK SCK260500 # 12.5C;1,390.00;SPERRY TOP SIDER;ZAPATO;9;7,110.00;790.00;18/8/2018;L1,290.00;
AO8662-515;G.N. H86 FUTURA CLASSIC AO8662-515 ;690.00;NIKE;ACCESORIOS;9;5,666.00;629.56;16/4/2019;L650.00;COBRAR
A1Z6G;T. FLYROAM GO KNIT OX BLK A1Z6G # 7;3,190.00;TIMBERLAND;ZAPATO;9;26,286.00;2,920.67;22/4/2019;L2,890.00;ESTA BUENO
STMS14B001 03;SPERRY MEDIAS GREY/GREEN/NAVY STMS14B001 03 ;590.00;SPERRY TOP SIDER;ACCESORIOS;9;4,647.00;516.33;4/2/2019;L550.00;
0195412;SPERRY A/O BROWN 0195412 #9.5;2,990.00;SPERRY TOP SIDER;ZAPATO;9;25,203.00;2,800.33;28/1/2019;L2,790.00;
AA2181 002;T.N VIALE BLK/WTH AA2181 002 # 6.5;2,190.00;NIKE;ZAPATO;9;17,664.50;1,962.72;24/1/2019;L1,990.00;
A1PDS;T.BRACDSTREET BROW A1PDS  # 7.5;2,990.00;TIMBERLAND;ZAPATO;9;24,516.50;2,724.06;22/2/2019;L2,790.00;
AH8050-002;T.N AIR MAX 270 BLK/WHT AH8050-002 # 7;4,790.00;NIKE;ZAPATO;9;38,564.52;4,284.95;15/4/2019;L4,490.00;COBRAR
A1E9M 001;GORRA TIMBERLAND COTTON CANVAS BLK A1E9M 001;1,150.00;TIMBERLAND;ACCESORIOS;9;8,379.15;931.02;30/10/2018;L990.00;
SX7161-954;CALCETINES NK PERF CUSH NS 3P MARL SX7161-954 # M;450.00;NIKE;ACCESORIOS;9;3,337.50;370.83;24/1/2019;L390.00;
VN000W9T6BT;T.V OLD SKOOL BLACK/WHITE VN000W9T6BT # 10.5;1,390.00;VANS;ZAPATO;9;11,165.50;1,240.61;10/5/2019;L1,290.00;COBRAR
